Gender,Race,Age,City,State,Weapon,Relationship,Solved,KMeans_Cluster,GMM_Cluster,DBSCAN_Cluster
Female,Black,13,Palm Beach,Florida,Handgun,,Yes,1,2,-1
Male,Asian/Pacific Islander,52,Davidson,Tennessee,Handgun,Stranger,Yes,0,3,-1
Male,White,22,Fremont,Idaho,Rifle,Acquaintance,Yes,1,1,-1
Male,Black,17,Fulton,Georgia,Handgun,,No,1,3,11
Male,Black,0,Shelby,Tennessee,Blunt Object,Son,Yes,1,3,-1
Male,White,37,Galveston,Texas,Handgun,Family,Yes,1,2,-1
Male,Black,24,Cape Girardeau,Missouri,Handgun,Acquaintance,Yes,1,3,-1
Male,Black,99,Baltimore city,Maryland,Knife,,No,0,2,-1
Female,White,27,Darlington,South Carolina,Handgun,Wife,Yes,1,2,-1
Male,White,28,Gwinnett,Georgia,Handgun,,Yes,1,1,-1
Male,White,23,Santa Clara,California,Shotgun,Stranger,Yes,1,2,-1
Male,White,45,Harris,Texas,Firearm,,No,0,2,-1
Female,White,95,Ingham,Michigan,Blunt Object,Neighbor,Yes,0,2,-1
Female,Black,31,Anson,North Carolina,Shotgun,,No,1,4,-1
Male,Black,22,Dallas,Texas,Handgun,,Yes,1,2,23
Male,Black,22,Comanche,Oklahoma,Handgun,,Yes,1,3,-1
Male,White,87,Milwaukee,Wisconsin,,,No,0,2,-1
Male,White,24,New York,New York,Handgun,,No,1,2,1
Female,White,42,Geneva,Alabama,Blunt Object,Acquaintance,Yes,0,0,-1
Female,White,66,Catawba,North Carolina,Blunt Object,Girlfriend,Yes,0,2,-1
Male,Black,19,Calhoun,Alabama,Handgun,,Yes,1,3,-1
Male,White,19,Ashtabula,Ohio,Shotgun,Acquaintance,Yes,1,4,-1
Male,Black,31,Baltimore,Maryland,Handgun,Stranger,Yes,1,2,-1
Male,Black,34,Bexar,Texas,Handgun,Acquaintance,Yes,1,2,-1
Female,Native American/Alaska Native,20,Maricopa,Arizona,Knife,Stranger,Yes,1,4,-1
Male,White,99,Clermont,Ohio,Handgun,Acquaintance,Yes,0,2,-1
Female,White,18,New York,New York,Knife,Girlfriend,Yes,1,2,-1
Male,Black,15,Dade,Florida,Handgun,,Yes,1,2,21
Male,White,11,Herkimer,New York,Rifle,Brother,Yes,1,1,-1
Male,Black,30,Jefferson,Alabama,Handgun,Stranger,Yes,1,2,-1
Female,White,50,Franklin,Kentucky,Blunt Object,Girlfriend,Yes,0,2,-1
Male,White,28,Travis,Texas,Rifle,Acquaintance,Yes,1,2,-1
Male,Black,28,Orleans,Louisiana,Handgun,,No,1,2,22
Male,White,18,Baltimore,Maryland,Knife,Friend,Yes,1,2,-1
Male,White,24,Cleveland,North Carolina,Shotgun,Husband,Yes,1,4,-1
